Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),Attacking Impact Score,Passing Impact Score,Defensive Impact Score,Movement Impact Score,Goalkeeping Impact Score,Cluster,Player Archetype,Overall Performance Score,Performance Rating,Goalkeeping Rating
Abdulaziz Hatem,QAT,MF,0.0,51.0,0,0,0,0,0,0,0,0.0,0.0,0,32,26,81,0,0,0,2,50,0,0,0,1,20,0,1,0,0,0,0,0,,,,31,5,13,13,26,5,2,5,20,65,2.28,86,28,5826.99,-1.3243189297858935,-0.9892118630358588,-1.3480172784555815,-1.5652954073784064,,2,Limited Tournament Impact,0.23933408434400638,7.4,
Abdulelah Alamri,KSA,DF,1.0,268.0,0,2,4,25,3,1,1,0.93,1.07,0,99,81,82,1,100,0,3,67,0,0,0,7,23,5,1,0,1,0,0,0,,,,30,4,2,24,15,15,2,2,15,212,5.67,252,89,25207.74,2.1533689074482587,0.6053774608815479,-0.6329142574359868,-0.3165844203330912,,0,Balanced Contributors,0.6337680948375698,19.5,
Abdulkerim Bardakci,TUR,DF,0.0,300.0,0,0,3,0,1,2,0,0.07,0.0,0,242,222,92,6,33,1,3,33,5,60,0,3,27,12,1,3,0,0,0,0,,,,25,2,1,22,11,14,1,2,24,516,6.08,258,93,30419.01,-0.384476944146554,2.924756110988771,0.1094682148317325,0.1147209072265971,,0,Balanced Contributors,0.8204457589619273,25.2,
Abdulla Abdullaev,UZB,DF,0.0,206.0,0,0,0,0,0,0,0,0.0,0.0,0,72,65,90,0,0,1,1,100,0,0,0,7,22,7,5,1,0,0,0,0,,,,13,1,1,11,6,7,0,0,7,143,3.82,191,57,19761.96,-1.3243189297858935,-0.173029937979693,-0.3487529018822445,-1.4809116683501484,,0,Balanced Contributors,0.4066125398455155,12.5,
Abdullah Alhamddan,KSA,FW,0.0,88.0,0,2,2,0,1,1,0,0.2,0.0,0,22,16,73,1,0,1,2,50,0,0,0,5,62,5,2,0,0,0,0,0,,,,39,13,21,5,24,15,0,16,17,52,7.86,170,70,10726.97,-0.0967534950809563,-0.9836229913129492,-0.32537974291167,-0.4858597257568248,,0,Balanced Contributors,0.44884459098629004,13.8,
Abdullah Alkhaibari,KSA,MF,0.0,203.0,0,0,1,0,0,1,0,0.01,0.0,0,58,48,83,0,0,1,1,0,0,0,0,8,81,7,0,2,0,0,0,0,,,,46,1,15,30,33,13,0,7,30,133,7.08,345,76,23607.42,-1.0117652193910067,-1.1616339424968098,0.5394088009510888,0.1357496114139751,,0,Balanced Contributors,0.5236703120132999,16.1,
Abduvohid Nematov,UZB,GK,0.0,206.0,0,0,0,0,0,0,0,0.0,0.0,0,56,28,50,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,55.0,44.0,18,0,0,18,13,5,0,0,3,106,1.79,20,2,9231.32,-1.3243189297858935,-1.3603682787960163,-1.631956563153904,-2.343373660771636,0.842944793639639,-1,Goalkeeper,0.13682104296551917,4.2,30.1
Achraf Hakimi,MAR,DF,1.0,650.0,2,4,14,7,6,8,0,0.96,1.04,21,449,402,90,38,32,11,7,86,6,83,0,19,93,30,7,16,1,0,0,0,,,,253,79,114,60,102,151,12,92,167,971,5.89,624,296,63750.68,7.28979546091251,8.505980413309121,5.183286153258925,10.624444198023063,,5,Elite All-Round Performers,2.6511516744414094,81.5,
Achref Abada,ALG,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Adalberto Carrasquilla,PAN,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Adam Arous,TUN,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Adam Hlozek,CZE,FW,0.0,172.0,0,1,3,0,2,1,0,0.31,0.0,0,26,18,69,1,100,3,1,100,0,0,0,6,92,7,4,4,0,0,0,0,,,,44,20,20,4,32,12,4,26,31,70,6.77,251,94,19420.45,0.0190177934856032,0.3069398925847811,0.8807832543324913,0.4276599973442226,,0,Balanced Contributors,0.7262418542445377,22.3,
Adil Boulbina,ALG,FW,0.0,28.0,0,0,0,0,0,0,0,0.0,0.0,0,19,16,84,0,0,1,1,100,1,100,0,1,13,0,0,0,0,0,0,1,,,,46,20,19,7,13,33,2,6,20,42,3.53,54,21,3442.77,-1.3243189297858935,0.2708318097645709,-1.4255855263979451,-1.1911786008785163,,0,Balanced Contributors,0.3515334032587849,10.8,
Adrien Rabiot,FRA,MF,0.0,555.0,1,1,8,0,3,5,2,0.83,0.0,0,311,286,92,2,0,2,11,73,1,100,0,10,111,29,11,3,1,0,0,1,,,,198,54,49,95,135,63,8,28,109,681,5.59,696,214,60628.85,2.8172545227327546,3.573001106694438,2.523578806583678,7.03432616695464,,5,Elite All-Round Performers,1.6314272594376613,50.2,
Agustin Canobbio,URU,MF,1.0,261.0,0,1,4,25,4,0,1,0.75,1.33,0,68,61,90,9,33,2,5,60,0,0,0,16,107,16,7,5,0,1,0,1,,,,141,76,50,15,42,99,9,50,60,185,6.44,348,162,28186.33,1.75973351267555,0.7042197141014128,2.396551893625876,4.186713200169544,,1,Dynamic Attackers,1.1905805982275617,36.6,
Ahmed Alaaeldin,QAT,FW,0.0,55.0,0,1,1,0,1,0,0,0.13,0.0,0,8,4,50,0,0,0,1,0,0,0,0,2,22,4,1,1,0,0,0,0,,,,20,11,8,1,15,5,0,8,11,26,4.31,70,30,6052.91,-0.7016630695562976,-1.921770498089036,-0.8451106004027332,-1.8100573458018343,,2,Limited Tournament Impact,0.22492175429458153,6.9,
Ahmed Alganehi,QAT,MF,0.0,41.0,0,0,1,0,0,1,0,0.05,0.0,2,12,11,92,2,100,1,0,0,0,0,0,3,18,4,1,0,0,0,0,0,,,,7,2,4,1,3,4,0,2,8,27,2.04,51,24,4200.63,-0.8558634512190042,-0.6163841137769117,-0.9991760596772136,-2.4868942142442982,,2,Limited Tournament Impact,0.26592759178218767,8.2,
Ahmed Alkassar,KSA,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0
Ahmed Basil,IRQ,GK,0.0,149.0,0,0,0,0,0,0,0,0.0,0.0,0,71,42,59,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,43.0,36.0,12,0,0,12,8,4,0,0,2,124,1.87,10,2,7048.26,-1.3243189297858935,-1.252112839450524,-1.459900097840634,-2.4878668747254333,0.3441925381906422,-1,Goalkeeper,0.1538026684785002,4.7,22.8
Ahmed Fathy,QAT,MF,0.0,163.0,0,0,0,0,0,0,0,0.0,0.0,0,65,59,91,0,0,0,2,0,1,100,0,10,73,10,2,1,2,0,0,0,,,,49,3,18,28,41,8,0,4,14,146,6.63,312,80,18273.99,-1.3243189297858935,-0.1070219077104933,0.5881134504923272,-0.1361388029615873,,0,Balanced Contributors,0.5831903432422494,17.9,
Ahmed Fatouh,EGY,DF,0.0,301.0,0,1,1,0,1,0,0,0.13,0.0,0,182,163,90,7,14,1,11,64,0,0,0,24,49,9,2,3,1,0,0,0,,,,77,19,25,33,21,56,2,23,57,370,3.93,408,166,32856.27,-0.7016630695562976,1.804995246769811,1.4771051362823255,2.0444444273098994,,3,Complete Midfielders,0.9701612570044122,29.8,
Ahmed Maknazi,IRQ,DF,0.0,38.0,0,0,0,0,0,0,0,0.0,0.0,0,5,3,60,0,0,1,0,0,0,0,0,2,23,5,0,0,0,0,0,0,,,,1,0,1,0,1,0,0,1,9,16,2.2,55,16,4276.36,-1.3243189297858935,-1.847752947991956,-0.9444928531795465,-2.6440132620912054,,2,Limited Tournament Impact,0.1493489012548147,4.6,
Ahmed Qasem,IRQ,FW,0.0,135.0,0,0,0,0,0,0,0,0.0,0.0,0,16,13,81,1,0,0,1,100,0,0,0,3,81,6,0,1,0,0,0,0,,,,52,37,14,1,31,21,2,11,21,47,6.29,215,78,15459.21,-1.3243189297858935,-0.7396354987510182,-0.0058192943647173,-0.0375755035615284,,0,Balanced Contributors,0.48100486751038884,14.8,
Ahmed Reda Tagnaouti,MAR,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0
Aiden Oneill,AUS,MF,0.0,406.0,0,0,2,0,1,1,0,0.07,0.0,4,172,142,83,8,50,3,12,42,3,33,0,25,105,15,2,8,0,0,0,0,,,,138,6,61,71,103,35,1,23,103,388,6.97,648,186,47323.13,-0.4397061277459466,2.913548839637173,3.389807371090156,4.50676862954523,,3,Complete Midfielders,1.3993290377747432,43.0,
Aiman Yahya,KSA,FW,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Aimar Sher,IRQ,MF,0.0,24.0,0,0,0,0,0,0,0,0.0,0.0,0,22,20,91,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,,,,27,1,8,18,23,4,0,2,2,49,2.56,41,6,3139.09,-1.3243189297858935,-1.490997205427518,-1.4644457815260292,-2.1970151773975264,,2,Limited Tournament Impact,0.15180985882535092,4.7,
Aissa Mandi,ALG,DF,0.0,403.0,0,0,0,0,0,0,0,0.0,0.0,0,382,357,93,0,0,0,5,20,10,90,0,14,19,6,0,5,0,0,0,0,,,,33,3,4,26,13,20,0,1,27,774,5.62,331,81,37858.06,-1.3243189297858935,4.693440197889768,0.6808464243204017,0.6778416653004838,,3,Complete Midfielders,1.0132660439972934,31.2,
Ajdin Hrustic,AUS,FW,0.0,90.0,0,0,3,0,2,1,0,0.11,0.0,1,31,27,87,5,40,1,0,0,0,0,0,5,40,2,1,0,0,0,0,0,,,,51,14,32,5,27,24,2,15,30,80,3.74,183,58,11460.39,-0.3199106369054474,-0.8094871665759481,-0.7539447677931708,-0.3669711994560818,,0,Balanced Contributors,0.41881559182748807,12.9,
Akam Hashim,IRQ,DF,0.0,303.0,0,0,1,0,0,1,0,0.03,0.0,0,148,126,85,0,0,4,3,33,1,100,0,3,16,7,0,3,0,0,0,0,,,,20,1,2,17,6,14,1,1,25,313,5.56,270,79,28097.87,-0.9961997880914322,1.2126435567723806,-0.320389917515435,-0.361191629000129,,0,Balanced Contributors,0.5946618607289572,18.3,
Akmal Mozgovoy,UZB,MF,0.0,243.0,1,0,1,0,1,0,0,0.08,0.0,0,79,65,82,0,0,2,8,50,3,67,0,5,83,8,0,3,0,0,0,0,,,,115,10,80,25,84,31,1,16,40,182,6.81,361,94,27540.59,-0.5779444538036328,1.1907843106988516,0.6082734996321606,2.0503195175268694,,3,Complete Midfielders,0.8412806249931581,25.9,
Akram Afif,QAT,FW,0.0,269.0,0,0,2,0,1,1,0,0.16,0.0,7,93,73,78,12,33,2,12,42,3,67,0,16,54,5,0,4,0,0,0,2,,,,83,23,54,6,42,41,2,40,69,217,5.2,194,104,23536.07,-0.1825053285385808,2.4960668192315194,0.9596696027573977,1.6853153778080403,,3,Complete Midfielders,0.97055872066051,29.8,
Ala Alhajji,KSA,MF,0.0,43.0,0,0,0,0,0,0,0,0.0,0.0,0,17,16,94,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,,,,17,3,12,2,11,6,0,7,13,37,5.08,98,33,5355.08,-1.3243189297858935,-1.562892012717252,-1.4304795618038522,-1.740641732224438,,2,Limited Tournament Impact,0.1763032567873557,5.4,
Alan Franco,ECU,MF,0.0,270.0,0,0,0,0,0,0,0,0.0,0.0,0,148,140,95,4,0,0,3,33,0,0,0,9,40,14,7,0,2,0,0,0,,,,48,11,11,26,14,34,2,7,31,300,6.1,307,134,27468.83,-1.3243189297858935,0.2796890686113906,0.2344345199093931,0.7518763917420359,,0,Balanced Contributors,0.6302565084158174,19.4,
Alan Minda,ECU,MF,0.0,59.0,0,0,2,0,1,1,0,0.44,0.0,0,16,12,75,2,0,0,1,0,0,0,0,1,28,1,0,1,0,0,0,0,,,,32,16,16,0,12,20,2,10,14,43,1.55,80,31,6170.77,-0.401287459849522,-1.534763735660672,-1.025718352663491,-1.567329851362427,,2,Limited Tournament Impact,0.2622855223385431,8.1,
Alban Lafont,CIV,GK,0.0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0
Alberto Quintero,PAN,MF,0.0,8.0,0,0,0,0,0,0,0,0.0,0.0,0,3,3,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,5,2,2,1,3,2,0,2,1,8,2.86,17,8,1246.31,-1.3243189297858935,-1.569739035077044,-1.6208753848764237,-2.7053672314129424,,2,Limited Tournament Impact,0.10044289693262241,3.1,
Alejandro Romero Gamarra,PAR,FW,0.0,18.0,0,0,0,0,0,0,0,0.0,0.0,0,10,6,60,0,0,0,0,0,1,100,0,3,13,5,1,1,0,0,0,0,,,,6,0,1,5,5,1,0,0,9,24,1.41,35,11,2181.02,-1.3243189297858935,-0.9881961839238996,-0.8209324514923696,-2.714921130232168,,2,Limited Tournament Impact,0.2242544733292062,6.9,
Aleksandar Pavlovic,GER,MF,0.0,300.0,0,1,4,0,1,3,0,0.37,0.0,0,260,240,92,1,0,1,1,0,1,100,0,27,76,20,13,4,1,0,0,0,,,,158,4,54,100,119,39,0,20,67,548,7.64,597,165,38018.1,0.3994350902738957,1.5546215810436883,2.8128239493824454,4.379002550323916,,3,Complete Midfielders,1.2596392236842657,38.7,
Alessandro Circati,AUS,DF,0.0,438.0,0,0,3,0,2,1,2,0.13,0.0,0,221,177,80,1,0,1,10,60,4,75,0,12,48,28,5,4,1,0,0,0,,,,55,4,10,41,16,39,0,9,63,448,6.09,424,142,44568.44,0.1236081273015519,2.720429236440622,2.060559444454123,1.7137794479690185,,3,Complete Midfielders,1.1097462180907374,34.1,
Alessandro Schoepf,AUT,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Alex Arce,PAR,FW,0.0,64.0,0,0,0,0,0,0,0,0.0,0.0,0,10,7,70,0,0,0,0,0,0,0,0,1,32,4,1,0,1,0,0,0,,,,11,6,2,3,7,4,0,8,10,22,2.85,122,46,7712.6,-1.3243189297858935,-1.82536528362935,-0.96867100208991,-1.9865818654097531,,2,Limited Tournament Impact,0.18719195563318758,5.8,
Alex Baena,ESP,MF,1.0,444.0,1,4,11,9,4,7,0,0.4,2.49,24,198,162,82,37,19,3,16,63,2,100,0,22,131,21,9,7,1,0,0,2,,,,274,122,112,40,148,126,12,127,89,496,5.51,544,230,47445.55,5.91812421066206,5.338836570751867,3.6884725890991024,9.485321133319536,,5,Elite All-Round Performers,2.140366195687945,65.8,
Alex Freeman,USA,DF,1.0,442.0,1,1,4,25,4,0,3,0.78,1.28,0,283,256,90,4,0,13,9,67,4,75,0,17,64,20,1,1,0,0,0,0,,,,108,10,34,64,20,88,4,22,76,591,6.46,545,179,47281.6,2.6776616200310066,4.702234938689061,1.5405232226257497,3.997263740095834,,3,Complete Midfielders,1.4390394584640815,44.2,
Alex Grimaldo,ESP,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Alex Paulsen,NZL,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0
Alex Rufer,NZL,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Alex Sandro,BRA,DF,0.0,15.0,0,0,0,0,0,0,0,0.0,0.0,0,13,13,100,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,,,,6,2,2,2,1,5,0,2,2,25,1.45,31,8,1822.47,-1.3243189297858935,-1.5436483326446846,-1.4644457815260292,-2.759350083622577,,2,Limited Tournament Impact,0.11478956252733835,3.5,
Alex Zendejas,USA,FW,0.0,22.0,0,0,1,0,1,0,0,0.0,0.0,0,7,6,86,1,0,0,1,0,0,0,0,1,16,2,1,0,0,0,0,0,,,,11,3,6,2,7,4,0,2,4,19,1.62,53,20,3064.71,-1.0484979431852637,-1.5668201311400594,-1.269155923047551,-2.5268519090360533,,2,Limited Tournament Impact,0.15596480202867985,4.8,
Alexander Bernhardsson,SWE,DF,0.0,233.0,0,1,1,0,0,1,0,0.05,0.0,0,67,51,76,3,0,4,3,67,1,100,0,14,81,9,2,5,0,0,0,0,,,,40,15,15,10,10,30,0,28,36,150,4.85,268,90,25109.78,-0.7349747866101267,0.9290882145770818,1.5526585803011237,0.162741290742674,,0,Balanced Contributors,0.798142565222442,24.5,
Alexander Isak,SWE,FW,1.0,389.0,3,6,8,13,5,3,1,0.68,1.48,0,81,65,80,4,0,3,5,60,2,50,0,5,110,15,4,1,0,0,0,5,,,,134,64,66,4,105,29,7,57,69,194,5.5,346,155,35655.02,5.215260754356084,1.0050819411084997,0.9945036223104292,3.939473991211744,,1,Dynamic Attackers,1.1865312658989242,36.5,
Alexander Nuebel,GER,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0
Alexander Prass,AUT,MF,0.0,41.0,0,0,0,0,0,0,0,0.0,0.0,0,25,22,88,3,0,0,3,33,0,0,0,0,5,0,0,0,0,0,0,0,,,,21,11,7,3,7,14,1,8,8,54,3.55,61,28,4686.43,-1.3243189297858935,-0.8523882993713063,-1.5765506717665017,-1.816121188028268,,2,Limited Tournament Impact,0.21267169028727576,6.5,
Alexander Schlager,AUT,GK,0.0,412.0,0,0,0,0,0,0,0,0.0,0.0,0,123,106,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.0,85.0,74.0,64,0,0,64,48,16,0,0,2,247,3.4,81,20,23367.49,-1.3243189297858935,-0.8025481583227034,-1.459900097840634,-0.7387526588264548,2.711442247268038,-1,Goalkeeper,0.29117320195510277,9.0,57.6
Alexander Sorloth,NOR,FW,0.0,363.0,0,1,5,0,5,0,1,0.6,0.0,0,110,88,80,5,20,2,5,100,0,0,0,9,70,8,6,2,0,0,0,2,,,,135,56,78,1,49,86,3,83,88,276,5.38,483,187,38789.92,1.0125779052331516,0.8959861429055905,0.5414245933064913,4.733235679623617,,3,Complete Midfielders,1.0267291007212271,31.6,
Alexandr Sojka,CZE,MF,0.0,155.0,1,0,0,0,0,0,0,0.0,0.0,1,65,52,80,5,40,3,1,0,3,33,0,18,84,9,0,2,0,0,0,0,,,,66,10,36,20,26,40,0,24,44,155,8.04,321,108,19628.07,-0.8536417128161344,0.5121754759585869,1.3189955957886024,1.095706992414472,,0,Balanced Contributors,0.792915289838562,24.4,
Alexandre Pierre,HAI,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0
